시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
충청남도,아산시,선도중학교 운동장,충청남도 아산시 선장면 군덕리 73-1,13276,126.863859,36.788597,
충청남도,태안군,태안초 운동장,충청남도 태안군 태안읍 남문리 315-0,6325,,,
대구광역시,동구,불로중학교(운동장),대구광역시 동구 불로동   1010-0,7663,128.633675,35.898005,이윤호
대구광역시,동구,새론중학교(운동장),대구광역시 동구 신서동   1137-0,3540,128.724836,35.879089,박숙
대구광역시,동구,신성초등학교(운동장),대구광역시 동구 신암동   134-87,1610,128.62994,35.890667,차종우
대구광역시,동구,영신고등학교(운동장),대구광역시 동구 봉무동   524-0,5379,128.646425,35.919305,하창익
대구광역시,동구,대구일과학고등학교(운동장),대구광역시 동구 각산동   1046-0,15957,128.722548,35.886691,강현청
대구광역시,동구,입석중학교(운동장),대구광역시 동구 입석동   951,4600,128.644383,35.891184,이경옥
대구광역시,동구,해서초등학교(운동장),대구광역시 동구 봉무동   1571,6955,128.643059,35.918062,주소영 
대구광역시,동구,대구선동촌공원,대구광역시 동구 입석동   893-9,36244,128.649694,35.8904,한성욱
대구광역시,동구,동촌유원지,대구광역시 동구 효목동   970-0,5600,128.648602,35.883582,하상철
